seq,id,ra,dec,mag,tile,hstpng
358,309,150.513663,2.373660,21.47,075,sn_acs_only_0358_hst.png
359,324,150.513592,2.060545,21.83,051,sn_acs_only_0359_hst.png
360,406,150.503296,2.062229,22.60,051,sn_acs_only_0360_hst.png
361,52,150.555026,2.403436,22.04,075,sn_acs_only_0361_hst.png
362,280,150.546573,2.195403,23.54,063,sn_acs_only_0362_hst.png
363,308,150.541166,2.178689,23.69,063,sn_acs_only_0363_hst.png
364,309,150.541321,2.180046,21.63,063,sn_acs_only_0364_hst.png
365,383,150.532343,2.178159,22.60,063,sn_acs_only_0365_hst.png
366,396,150.530307,2.175683,21.45,063,sn_acs_only_0366_hst.png
367,129,150.570138,1.937952,22.24,038,sn_acs_only_0367_hst.png
368,162,150.557731,1.892078,23.51,039,sn_acs_only_0368_hst.png
369,225,150.547559,1.893989,19.15,039,sn_acs_only_0369_hst.png
370,127,150.579146,2.282917,24.15,062,sn_acs_only_0370_hst.png
371,131,150.581058,2.617413,21.34,086,sn_acs_only_0371_hst.png
372,161,150.596900,1.746109,23.07,026,sn_acs_only_0372_hst.png
373,198,150.577696,2.662708,19.28,098,sn_acs_only_0373_hst.png
374,19,150.606100,2.060671,21.06,050,sn_acs_only_0374_hst.png
375,42,150.602292,2.060881,22.78,050,sn_acs_only_0375_hst.png
376,24,150.614822,2.412002,21.84,074,sn_acs_only_0376_hst.png
377,226,150.610770,1.779657,20.00,026,sn_acs_only_0377_hst.png
378,97,150.612588,2.454106,21.35,074,sn_acs_only_0378_hst.png
379,222,150.614461,1.835338,21.17,038,sn_acs_only_0379_hst.png
380,306,150.587744,2.773168,23.20,098,sn_acs_only_0380_hst.png
381,105,150.612307,2.172345,21.20,062,sn_acs_only_0381_hst.png
382,111,150.609659,2.167869,21.04,062,sn_acs_only_0382_hst.png
383,192,150.592067,2.477487,20.62,086,sn_acs_only_0383_hst.png
